schema_version,analysis_class,analysis_id,split_order,split_name,stratum_dimension,stratum_order,stratum_id,stratum_label,method_order,method,metric_order,metric,sequence_count_display,sequence_count,component_count_display,component_count,estimate,ci_lower,ci_upper,bootstrap_iterations,bootstrap_seed,reporting_status
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,6,esm2-150m,0,accuracy,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,6,esm2-150m,1,balanced_accuracy,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,2,length_400_599,400–599,6,esm2-150m,2,macro_f1,11,11,11,11,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,6,esm2-150m,0,accuracy,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,6,esm2-150m,1,balanced_accuracy,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,3,length_600_799,600–799,6,esm2-150m,2,macro_f1,<5,NA,4,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,6,esm2-150m,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,6,esm2-150m,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,0,random,length,4,length_800_1000,800–1000,6,esm2-150m,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,1,cluster70,length,0,length_050_199,50–199,0,majority,0,accuracy,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,1,cluster70,length,0,length_050_199,50–199,0,majority,1,balanced_accuracy,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,1,cluster70,length,0,length_050_199,50–199,0,majority,2,macro_f1,7,7,7,7,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,1,cluster70,length,1,length_200_399,200–399,0,majority,0,accuracy,38,38,36,36,0.394736842105263,0.236842105263158,0.564189189189189,2000,2026,reportable
1,confirmatory,v060-length,1,cluster70,length,1,length_200_399,200–399,0,majority,1,balanced_accuracy,38,38,36,36,0.2,0.2,0.2,2000,2026,reportable
1,confirmatory,v060-length,1,cluster70,length,1,length_200_399,200–399,0,majority,2,macro_f1,38,38,36,36,0.113207547169811,0.076595744680851,0.142857142857143,2000,2026,reportable
1,confirmatory,v060-length,1,cluster70,length,2,length_400_599,400–599,0,majority,0,accuracy,12,12,12,12,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,1,cluster70,length,2,length_400_599,400–599,0,majority,1,balanced_accuracy,12,12,12,12,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,1,cluster70,length,2,length_400_599,400–599,0,majority,2,macro_f1,12,12,12,12,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,1,cluster70,length,3,length_600_799,600–799,0,majority,0,accuracy,8,8,8,8,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,1,cluster70,length,3,length_600_799,600–799,0,majority,1,balanced_accuracy,8,8,8,8,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,1,cluster70,length,3,length_600_799,600–799,0,majority,2,macro_f1,8,8,8,8,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-length,1,cluster70,length,4,length_800_1000,800–1000,0,majority,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,1,cluster70,length,4,length_800_1000,800–1000,0,majority,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-length,1,cluster70,length,4,length_800_1000,800–1000,0,majority,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
