schema_version,analysis_class,split_order,split_name,method_order,method,label_order,ec_level_2,sequence_count_display,sequence_count,component_count_display,component_count,class_precision,class_recall,class_f1,class_f1_ci_lower,class_f1_ci_upper,dominant_wrong_label,dominant_wrong_count,random_minus_cluster30_class_f1,gap_ci_lower,gap_ci_upper,reporting_status
1,confirmatory,1,cluster70,2,aac-logistic,0,2.7,29,29,28,28,0.65,0.448275862068966,0.530612244897959,0.333333333333333,0.680021276595745,3.1,5,NA,NA,NA,reportable
1,confirmatory,1,cluster70,2,aac-logistic,1,3.1,13,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,2,aac-logistic,2,1.1,9,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,2,aac-logistic,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,2,aac-logistic,4,4.1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,3,kmer3-logistic,0,2.7,29,29,28,28,0.514285714285714,0.620689655172414,0.5625,0.408144368858655,0.698412698412698,1.1,4,NA,NA,NA,reportable
1,confirmatory,1,cluster70,3,kmer3-logistic,1,3.1,13,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,3,kmer3-logistic,2,1.1,9,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,3,kmer3-logistic,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,3,kmer3-logistic,4,4.1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,4,nearest-homolog,0,2.7,29,29,28,28,0.527272727272727,1,0.69047619047619,0.558776991809382,0.795454545454545,NA,0,NA,NA,NA,reportable
1,confirmatory,1,cluster70,4,nearest-homolog,1,3.1,13,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,4,nearest-homolog,2,1.1,9,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,4,nearest-homolog,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,4,nearest-homolog,4,4.1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,5,esm2-35m,0,2.7,29,29,28,28,0.787878787878788,0.896551724137931,0.838709677419355,0.724137931034483,0.923125,1.1,2,NA,NA,NA,reportable
