schema_version,analysis_class,analysis_id,split_order,split_name,stratum_dimension,stratum_order,stratum_id,stratum_label,method_order,method,metric_order,metric,sequence_count_display,sequence_count,component_count_display,component_count,estimate,ci_lower,ci_upper,bootstrap_iterations,bootstrap_seed,reporting_status,comparison_split,difference_direction,difference,difference_ci_lower,difference_ci_upper,resampling
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,5,esm2-35m,1,balanced_accuracy,66,66,59,59,0.843652898825313,0.693127371916509,0.943774671052631,2000,2026,reportable,cluster50,random_minus_comparison,-0.055246094901267,-0.220441866140396,0.128152827143616,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,5,esm2-35m,2,macro_f1,66,66,59,59,0.859952465834819,0.699653184685852,0.94459427981719,2000,2026,reportable,cluster50,random_minus_comparison,-0.06268005839292,-0.211432810496991,0.115432542571593,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,6,esm2-150m,0,accuracy,66,66,59,59,0.863636363636364,0.765602022058824,0.944583333333333,2000,2026,reportable,cluster50,random_minus_comparison,-0.060606060606061,-0.191921261798311,0.069011013496308,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,6,esm2-150m,1,balanced_accuracy,66,66,59,59,0.842525577870405,0.707769607843137,0.942865800865801,2000,2026,reportable,cluster50,random_minus_comparison,-0.063154182981769,-0.222080230916818,0.098182383040936,independent_component_bootstrap
1,confirmatory,v060-whole_test,2,cluster50,whole_test,0,whole_test,Whole Test,6,esm2-150m,2,macro_f1,66,66,59,59,0.843852566198104,0.714738222561752,0.934113683418031,2000,2026,reportable,cluster50,random_minus_comparison,-0.06020177254731,-0.229831673325495,0.09655180639676,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,0,majority,0,accuracy,66,66,60,60,0.439393939393939,0.312408088235294,0.571428571428571,2000,2026,reportable,cluster30,random_minus_comparison,0,-0.174752747252747,0.186346322365446,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,0,majority,1,balanced_accuracy,66,66,60,60,0.2,0.2,0.2,2000,2026,reportable,cluster30,random_minus_comparison,0,0,0,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,0,majority,2,macro_f1,66,66,60,60,0.122105263157895,0.09438202247191,0.146153846153846,2000,2026,reportable,cluster30,random_minus_comparison,0,-0.034290085116172,0.032870714357793,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,1,length-logistic,0,accuracy,66,66,60,60,0.212121212121212,0.111111111111111,0.318946488294314,2000,2026,reportable,cluster30,random_minus_comparison,-0.015151515151515,-0.155483682983683,0.134332620116202,independent_component_bootstrap
1,confirmatory,v060-whole_test,3,cluster30,whole_test,0,whole_test,Whole Test,1,length-logistic,1,balanced_accuracy,66,66,60,60,0.275602079912425,0.185382352941176,0.398463235294118,2000,2026,reportable,cluster30,random_minus_comparison,-0.028571428571429,-0.169781945066428,0.099220851901366,independent_component_bootstrap
