schema_version,analysis_class,analysis_id,split_order,split_name,stratum_dimension,stratum_order,stratum_id,stratum_label,method_order,method,metric_order,metric,sequence_count_display,sequence_count,component_count_display,component_count,estimate,ci_lower,ci_upper,bootstrap_iterations,bootstrap_seed,reporting_status
1,confirmatory,v060-component_size,0,random,component_size,2,component_05_09,5–9,4,nearest-homolog,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,2,component_05_09,5–9,4,nearest-homolog,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,3,component_10_19,10–19,4,nearest-homolog,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,3,component_10_19,10–19,4,nearest-homolog,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,3,component_10_19,10–19,4,nearest-homolog,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,4,component_20_plus,20+,4,nearest-homolog,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,4,component_20_plus,20+,4,nearest-homolog,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,4,component_20_plus,20+,4,nearest-homolog,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,0,component_singleton,1,5,esm2-35m,0,accuracy,59,59,59,59,0.796610169491525,0.694915254237288,0.898305084745763,2000,2026,reportable
1,confirmatory,v060-component_size,0,random,component_size,0,component_singleton,1,5,esm2-35m,1,balanced_accuracy,59,59,59,59,0.767666666666667,0.624801397877485,0.887126205958604,2000,2026,reportable
1,confirmatory,v060-component_size,0,random,component_size,0,component_singleton,1,5,esm2-35m,2,macro_f1,59,59,59,59,0.775387847446671,0.631599581919628,0.879200534759358,2000,2026,reportable
1,confirmatory,v060-component_size,0,random,component_size,1,component_02_04,2–4,5,esm2-35m,0,accuracy,7,7,6,6,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-component_size,0,random,component_size,1,component_02_04,2–4,5,esm2-35m,1,balanced_accuracy,7,7,6,6,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-component_size,0,random,component_size,1,component_02_04,2–4,5,esm2-35m,2,macro_f1,7,7,6,6,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,v060-component_size,0,random,component_size,2,component_05_09,5–9,5,esm2-35m,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,2,component_05_09,5–9,5,esm2-35m,1,balanced_accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,2,component_05_09,5–9,5,esm2-35m,2,macro_f1,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,v060-component_size,0,random,component_size,3,component_10_19,10–19,5,esm2-35m,0,accuracy,<5,NA,<3,NA,NA,NA,NA,NA,NA,privacy_suppressed
