schema_version,analysis_class,split_order,split_name,stratum_order,stratum_id,measure_order,measure,method_order,method,sequence_count_display,sequence_count,component_count_display,component_count,estimate,ci_lower,ci_upper,reporting_status
1,confirmatory,1,cluster70,3,identity_40_50,15,accuracy,6,esm2-150m,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,1,cluster70,4,identity_50_70,15,accuracy,6,esm2-150m,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,1,cluster70,5,identity_70_100,15,accuracy,6,esm2-150m,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,1,cluster70,6,no_hit,15,accuracy,6,esm2-150m,52,52,51,51,0.826923076923077,0.725490196078431,0.923076923076923,reportable
1,confirmatory,1,cluster70,0,identity_00_20,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,1,cluster70,1,identity_20_30,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,7,7,7,7,NA,NA,NA,insufficient_sequences
1,confirmatory,1,cluster70,2,identity_30_40,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,<5,NA,3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,1,cluster70,3,identity_40_50,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,1,cluster70,4,identity_50_70,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,1,cluster70,5,identity_70_100,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,1,cluster70,6,no_hit,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,52,52,51,51,0.326923076923077,0.192307692307692,0.470588235294118,reportable
1,confirmatory,2,cluster50,0,whole_test,0,hit_count,4,nearest-homolog,66,66,59,59,17,NA,NA,reportable
1,confirmatory,2,cluster50,0,whole_test,1,no_hit_count,4,nearest-homolog,66,66,59,59,49,NA,NA,reportable
1,confirmatory,2,cluster50,0,whole_test,2,fallback_count,4,nearest-homolog,66,66,59,59,49,NA,NA,reportable
1,confirmatory,2,cluster50,0,whole_test,3,no_hit_accuracy,4,nearest-homolog,66,66,59,59,0.510204081632653,NA,NA,reportable
1,confirmatory,2,cluster50,0,whole_test,4,same_label_hit_count,4,nearest-homolog,66,66,59,59,17,NA,NA,reportable
1,confirmatory,2,cluster50,0,whole_test,5,different_label_hit_count,4,nearest-homolog,66,66,59,59,0,NA,NA,reportable
1,confirmatory,2,cluster50,0,whole_test,6,identity_min,4,nearest-homolog,66,66,59,59,0.237,NA,NA,reportable
1,confirmatory,2,cluster50,0,whole_test,7,identity_median,4,nearest-homolog,66,66,59,59,0.353,NA,NA,reportable
1,confirmatory,2,cluster50,0,whole_test,8,identity_mean,4,nearest-homolog,66,66,59,59,0.349764705882353,NA,NA,reportable
1,confirmatory,2,cluster50,0,whole_test,9,identity_p90,4,nearest-homolog,66,66,59,59,0.4472,NA,NA,reportable
1,confirmatory,2,cluster50,0,whole_test,10,identity_p95,4,nearest-homolog,66,66,59,59,0.4656,NA,NA,reportable
1,confirmatory,2,cluster50,0,whole_test,11,identity_max,4,nearest-homolog,66,66,59,59,0.496,NA,NA,reportable
1,confirmatory,2,cluster50,0,whole_test,12,query_coverage_mean,4,nearest-homolog,66,66,59,59,0.944411764705882,NA,NA,reportable
1,confirmatory,2,cluster50,0,whole_test,13,target_coverage_mean,4,nearest-homolog,66,66,59,59,0.944117647058824,NA,NA,reportable
1,confirmatory,2,cluster50,0,whole_test,14,bitscore_mean,4,nearest-homolog,66,66,59,59,210.294117647058812,NA,NA,reportable
1,confirmatory,2,cluster50,0,identity_00_20,15,accuracy,4,nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,2,cluster50,1,identity_20_30,15,accuracy,4,nearest-homolog,5,5,4,4,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,2,identity_30_40,15,accuracy,4,nearest-homolog,8,8,7,7,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,3,identity_40_50,15,accuracy,4,nearest-homolog,<5,NA,4,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,2,cluster50,4,identity_50_70,15,accuracy,4,nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,2,cluster50,5,identity_70_100,15,accuracy,4,nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,2,cluster50,6,no_hit,15,accuracy,4,nearest-homolog,49,49,45,45,0.510204081632653,0.361702127659574,0.659574468085106,reportable
1,confirmatory,2,cluster50,0,identity_00_20,15,accuracy,6,esm2-150m,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,2,cluster50,1,identity_20_30,15,accuracy,6,esm2-150m,5,5,4,4,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,2,identity_30_40,15,accuracy,6,esm2-150m,8,8,7,7,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,3,identity_40_50,15,accuracy,6,esm2-150m,<5,NA,4,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,2,cluster50,4,identity_50_70,15,accuracy,6,esm2-150m,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,2,cluster50,5,identity_70_100,15,accuracy,6,esm2-150m,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,2,cluster50,6,no_hit,15,accuracy,6,esm2-150m,49,49,45,45,0.836734693877551,0.714285714285714,0.94,reportable
1,confirmatory,2,cluster50,0,identity_00_20,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,2,cluster50,1,identity_20_30,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,5,5,4,4,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,2,identity_30_40,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,8,8,7,7,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,3,identity_40_50,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,<5,NA,4,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,2,cluster50,4,identity_50_70,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,2,cluster50,5,identity_70_100,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,2,cluster50,6,no_hit,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,49,49,45,45,0.326530612244898,0.16,0.48936170212766,reportable
1,confirmatory,3,cluster30,0,whole_test,0,hit_count,4,nearest-homolog,66,66,60,60,8,NA,NA,reportable
1,confirmatory,3,cluster30,0,whole_test,1,no_hit_count,4,nearest-homolog,66,66,60,60,58,NA,NA,reportable
1,confirmatory,3,cluster30,0,whole_test,2,fallback_count,4,nearest-homolog,66,66,60,60,58,NA,NA,reportable
1,confirmatory,3,cluster30,0,whole_test,3,no_hit_accuracy,4,nearest-homolog,66,66,60,60,0.46551724137931,NA,NA,reportable
1,confirmatory,3,cluster30,0,whole_test,4,same_label_hit_count,4,nearest-homolog,66,66,60,60,8,NA,NA,reportable
1,confirmatory,3,cluster30,0,whole_test,5,different_label_hit_count,4,nearest-homolog,66,66,60,60,0,NA,NA,reportable
1,confirmatory,3,cluster30,0,whole_test,6,identity_min,4,nearest-homolog,66,66,60,60,0.235,NA,NA,reportable
1,confirmatory,3,cluster30,0,whole_test,7,identity_median,4,nearest-homolog,66,66,60,60,0.2655,NA,NA,reportable
1,confirmatory,3,cluster30,0,whole_test,8,identity_mean,4,nearest-homolog,66,66,60,60,0.267125,NA,NA,reportable
1,confirmatory,3,cluster30,0,whole_test,9,identity_p90,4,nearest-homolog,66,66,60,60,0.2892,NA,NA,reportable
1,confirmatory,3,cluster30,0,whole_test,10,identity_p95,4,nearest-homolog,66,66,60,60,0.2941,NA,NA,reportable
1,confirmatory,3,cluster30,0,whole_test,11,identity_max,4,nearest-homolog,66,66,60,60,0.299,NA,NA,reportable
1,confirmatory,3,cluster30,0,whole_test,12,query_coverage_mean,4,nearest-homolog,66,66,60,60,0.93375,NA,NA,reportable
1,confirmatory,3,cluster30,0,whole_test,13,target_coverage_mean,4,nearest-homolog,66,66,60,60,0.92125,NA,NA,reportable
1,confirmatory,3,cluster30,0,whole_test,14,bitscore_mean,4,nearest-homolog,66,66,60,60,138.625,NA,NA,reportable
1,confirmatory,3,cluster30,0,identity_00_20,15,accuracy,4,nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,3,cluster30,1,identity_20_30,15,accuracy,4,nearest-homolog,8,8,8,8,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,2,identity_30_40,15,accuracy,4,nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,3,cluster30,3,identity_40_50,15,accuracy,4,nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,3,cluster30,4,identity_50_70,15,accuracy,4,nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,3,cluster30,5,identity_70_100,15,accuracy,4,nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,3,cluster30,6,no_hit,15,accuracy,4,nearest-homolog,58,58,52,52,0.46551724137931,0.32258064516129,0.607142857142857,reportable
1,confirmatory,3,cluster30,0,identity_00_20,15,accuracy,6,esm2-150m,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,3,cluster30,1,identity_20_30,15,accuracy,6,esm2-150m,8,8,8,8,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,2,identity_30_40,15,accuracy,6,esm2-150m,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,3,cluster30,3,identity_40_50,15,accuracy,6,esm2-150m,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,3,cluster30,4,identity_50_70,15,accuracy,6,esm2-150m,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,3,cluster30,5,identity_70_100,15,accuracy,6,esm2-150m,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,3,cluster30,6,no_hit,15,accuracy,6,esm2-150m,58,58,52,52,0.793103448275862,0.678556295399516,0.894736842105263,reportable
1,confirmatory,3,cluster30,0,identity_00_20,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,3,cluster30,1,identity_20_30,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,8,8,8,8,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,2,identity_30_40,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,3,cluster30,3,identity_40_50,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,3,cluster30,4,identity_50_70,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,3,cluster30,5,identity_70_100,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,<5,NA,<3,NA,NA,NA,NA,privacy_suppressed
1,confirmatory,3,cluster30,6,no_hit,16,accuracy_difference_esm2_150m_minus_nearest_homolog,6,esm2-150m-minus-nearest-homolog,58,58,52,52,0.327586206896552,0.166590909090909,0.482772988505747,reportable
