schema_version,analysis_class,diagnostic_order,diagnostic,split_order,split_name,method_a,method_b,metric_order,metric,accuracy_difference,balanced_accuracy_difference,macro_f1_difference,signs_agree,direction,primary_seed,diagnostic_seed,maximum_lower_shift,maximum_upper_shift,maximum_width_shift,reporting_status
1,confirmatory,37,bootstrap_seed_method_difference,0,random,esm2-150m,aac-logistic,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.005681818181818,0.005361305361305,0.000343137254902,reportable
1,confirmatory,38,bootstrap_seed_method_difference,0,random,esm2-150m,aac-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.009329216073781,0.002752128700943,0.010881506567533,reportable
1,confirmatory,39,bootstrap_seed_method_difference,0,random,esm2-150m,aac-logistic,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.009488935016118,0.005487234201935,0.014976169218053,reportable
1,confirmatory,40,class_balance_method_difference,0,random,esm2-150m,kmer3-logistic,NA,NA,0.318181818181818,0.369706538672056,0.426070155271761,true,positive,2026,NA,NA,NA,NA,reportable
1,confirmatory,41,bootstrap_seed_method_difference,0,random,esm2-150m,kmer3-logistic,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.005510907003444,0.008158508158508,0.004359117616361,reportable
1,confirmatory,42,bootstrap_seed_method_difference,0,random,esm2-150m,kmer3-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.008914550361919,0.005539229448712,0.014453779810631,reportable
1,confirmatory,43,bootstrap_seed_method_difference,0,random,esm2-150m,kmer3-logistic,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.007775453811074,0.002530155456903,0.009511825739349,reportable
1,confirmatory,44,class_balance_method_difference,0,random,esm2-150m,esm2-35m,NA,NA,-0.015151515151515,-0.009035409035409,-0.013621613791105,true,negative,2026,NA,NA,NA,NA,reportable
1,confirmatory,45,bootstrap_seed_method_difference,0,random,esm2-150m,esm2-35m,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.008571428571429,0,0.008571428571429,reportable
1,confirmatory,46,bootstrap_seed_method_difference,0,random,esm2-150m,esm2-35m,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.001251016772601,0.001283122724352,0.000869229947379,reportable
1,confirmatory,47,bootstrap_seed_method_difference,0,random,esm2-150m,esm2-35m,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.001587285752103,0.001425674249904,0.002675073500013,reportable
1,confirmatory,48,class_balance_method_difference,1,cluster70,esm2-35m,aac-logistic,NA,NA,0.378787878787879,0.363189970948592,0.392175287772155,true,positive,2026,NA,NA,NA,NA,reportable
1,confirmatory,49,bootstrap_seed_method_difference,1,cluster70,esm2-35m,aac-logistic,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.007575757575758,0.000175339366515,0.007485177865613,reportable
1,confirmatory,50,bootstrap_seed_method_difference,1,cluster70,esm2-35m,aac-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.003153346014447,0.012820476655961,0.013235561582303,reportable
1,confirmatory,51,bootstrap_seed_method_difference,1,cluster70,esm2-35m,aac-logistic,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.008534184758783,0.003288110802485,0.010282595920543,reportable
1,confirmatory,52,class_balance_method_difference,1,cluster70,esm2-35m,kmer3-logistic,NA,NA,0.303030303030303,0.309476443097133,0.317233277475213,true,positive,2026,NA,NA,NA,NA,reportable
1,confirmatory,53,bootstrap_seed_method_difference,1,cluster70,esm2-35m,kmer3-logistic,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.007239982949702,0.006679104477612,0.001742841223746,reportable
1,confirmatory,54,bootstrap_seed_method_difference,1,cluster70,esm2-35m,kmer3-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.002937485669167,0.006732323232323,0.005775643393962,reportable
