schema_version,analysis_class,split_order,split_name,method_order,method,metric_order,metric,removal_order,removal_count,removed_sequence_count,remaining_sequence_count_display,remaining_sequence_count,remaining_component_count_display,remaining_component_count,estimate,ci_lower,ci_upper,reporting_status
1,confirmatory,0,random,5,esm2-35m,1,balanced_accuracy,1,1,2,64,64,64,64,0.786874236874237,0.65801797306636,0.904223822154857,reportable
1,confirmatory,0,random,5,esm2-35m,1,balanced_accuracy,2,3,4,62,62,62,62,0.780525030525031,0.647374236874237,0.894427807486631,reportable
1,confirmatory,0,random,5,esm2-35m,1,balanced_accuracy,3,5,6,60,60,60,60,0.787301587301587,0.643080627705628,0.910902597402597,reportable
1,confirmatory,0,random,5,esm2-35m,2,macro_f1,0,0,0,66,66,65,65,0.797272407441899,0.660115090679825,0.892872129648445,reportable
1,confirmatory,0,random,5,esm2-35m,2,macro_f1,1,1,2,64,64,64,64,0.795546675546676,0.665873716162181,0.89245937167333,reportable
1,confirmatory,0,random,5,esm2-35m,2,macro_f1,2,3,4,62,62,62,62,0.789197469197469,0.650649375815111,0.888974573773791,reportable
1,confirmatory,0,random,5,esm2-35m,2,macro_f1,3,5,6,60,60,60,60,0.799497835497835,0.660655278390989,0.902888290410611,reportable
1,confirmatory,0,random,6,esm2-150m,0,accuracy,0,0,0,66,66,65,65,0.803030303030303,0.707692307692308,0.893939393939394,reportable
1,confirmatory,0,random,6,esm2-150m,0,accuracy,1,1,2,64,64,64,64,0.796875,0.703125,0.890625,reportable
1,confirmatory,0,random,6,esm2-150m,0,accuracy,2,3,4,62,62,62,62,0.806451612903226,0.709677419354839,0.903225806451613,reportable
1,confirmatory,0,random,6,esm2-150m,0,accuracy,3,5,6,60,60,60,60,0.816666666666667,0.716666666666667,0.916666666666667,reportable
1,confirmatory,0,random,6,esm2-150m,1,balanced_accuracy,0,0,0,66,66,65,65,0.779371394888636,0.660711675297882,0.890173220542135,reportable
1,confirmatory,0,random,6,esm2-150m,1,balanced_accuracy,1,1,2,64,64,64,64,0.777838827838828,0.642444595726854,0.89074494949495,reportable
1,confirmatory,0,random,6,esm2-150m,1,balanced_accuracy,2,3,4,62,62,62,62,0.793711843711844,0.668888341543514,0.904897727272727,reportable
1,confirmatory,0,random,6,esm2-150m,1,balanced_accuracy,3,5,6,60,60,60,60,0.799206349206349,0.658785710739565,0.910718864468865,reportable
1,confirmatory,0,random,6,esm2-150m,2,macro_f1,0,0,0,66,66,65,65,0.783650793650794,0.64239943463543,0.877250579107031,reportable
1,confirmatory,0,random,6,esm2-150m,2,macro_f1,1,1,2,64,64,64,64,0.781746031746032,0.640836922124797,0.878340027073361,reportable
1,confirmatory,0,random,6,esm2-150m,2,macro_f1,2,3,4,62,62,62,62,0.796190476190476,0.670054699809703,0.897201969515535,reportable
1,confirmatory,0,random,6,esm2-150m,2,macro_f1,3,5,6,60,60,60,60,0.807262302914477,0.672007109700583,0.906570736040444,reportable
1,confirmatory,1,cluster70,0,majority,0,accuracy,0,0,0,66,66,64,64,0.439393939393939,0.323076923076923,0.560606060606061,reportable
1,confirmatory,1,cluster70,0,majority,0,accuracy,1,1,2,64,64,63,63,0.453125,0.328125,0.584615384615385,reportable
1,confirmatory,1,cluster70,0,majority,0,accuracy,2,3,5,61,61,61,61,0.442622950819672,0.311475409836066,0.573770491803279,reportable
1,confirmatory,1,cluster70,0,majority,0,accuracy,3,5,7,59,59,59,59,0.457627118644068,0.338983050847458,0.593220338983051,reportable
1,confirmatory,1,cluster70,0,majority,1,balanced_accuracy,0,0,0,66,66,64,64,0.2,0.2,0.2,reportable
1,confirmatory,1,cluster70,0,majority,1,balanced_accuracy,1,1,2,64,64,63,63,0.2,0.2,0.2,reportable
1,confirmatory,1,cluster70,0,majority,1,balanced_accuracy,2,3,5,61,61,61,61,0.2,0.2,0.2,reportable
1,confirmatory,1,cluster70,0,majority,1,balanced_accuracy,3,5,7,59,59,59,59,0.2,0.2,0.2,reportable
1,confirmatory,1,cluster70,0,majority,2,macro_f1,0,0,0,66,66,64,64,0.122105263157895,0.096551724137931,0.143396226415094,reportable
1,confirmatory,1,cluster70,0,majority,2,macro_f1,1,1,2,64,64,63,63,0.124731182795699,0.098823529411765,0.146153846153846,reportable
1,confirmatory,1,cluster70,0,majority,2,macro_f1,2,3,5,61,61,61,61,0.122727272727273,0.098765432098765,0.145833333333333,reportable
1,confirmatory,1,cluster70,0,majority,2,macro_f1,3,5,7,59,59,59,59,0.125581395348837,0.10126582278481,0.148936170212766,reportable
1,confirmatory,1,cluster70,1,length-logistic,0,accuracy,0,0,0,66,66,64,64,0.166666666666667,0.075757575757576,0.26865671641791,reportable
1,confirmatory,1,cluster70,1,length-logistic,0,accuracy,1,1,2,64,64,63,63,0.171875,0.079365079365079,0.26984126984127,reportable
1,confirmatory,1,cluster70,1,length-logistic,0,accuracy,2,3,5,61,61,61,61,0.163934426229508,0.081967213114754,0.262295081967213,reportable
1,confirmatory,1,cluster70,1,length-logistic,0,accuracy,3,5,7,59,59,59,59,0.169491525423729,0.084745762711864,0.271186440677966,reportable
1,confirmatory,1,cluster70,1,length-logistic,1,balanced_accuracy,0,0,0,66,66,64,64,0.229332449160035,0.122847097347097,0.34321875,reportable
1,confirmatory,1,cluster70,1,length-logistic,1,balanced_accuracy,1,1,2,64,64,63,63,0.248380068207654,0.128271246297562,0.366678571428571,reportable
1,confirmatory,1,cluster70,1,length-logistic,1,balanced_accuracy,2,3,5,61,61,61,61,0.229843304843305,0.114526315789474,0.36127380952381,reportable
1,confirmatory,1,cluster70,1,length-logistic,1,balanced_accuracy,3,5,7,59,59,59,59,0.23543771043771,0.116666666666667,0.366749925727867,reportable
1,confirmatory,1,cluster70,1,length-logistic,2,macro_f1,0,0,0,66,66,64,64,0.142393162393162,0.067150237707513,0.217750827603769,reportable
1,confirmatory,1,cluster70,1,length-logistic,2,macro_f1,1,1,2,64,64,63,63,0.148022308022308,0.069057514298894,0.223448173218971,reportable
1,confirmatory,1,cluster70,1,length-logistic,2,macro_f1,2,3,5,61,61,61,61,0.141032435150082,0.060500358422939,0.218454918180924,reportable
1,confirmatory,1,cluster70,1,length-logistic,2,macro_f1,3,5,7,59,59,59,59,0.149676793794441,0.065797088027988,0.239480519480519,reportable
1,confirmatory,1,cluster70,2,aac-logistic,0,accuracy,0,0,0,66,66,64,64,0.393939393939394,0.276923076923077,0.514717023172905,reportable
1,confirmatory,1,cluster70,2,aac-logistic,0,accuracy,1,1,2,64,64,63,63,0.375,0.253968253968254,0.492723880597014,reportable
1,confirmatory,1,cluster70,2,aac-logistic,0,accuracy,2,3,5,61,61,61,61,0.344262295081967,0.229508196721311,0.459016393442623,reportable
1,confirmatory,1,cluster70,2,aac-logistic,0,accuracy,3,5,7,59,59,59,59,0.338983050847458,0.220338983050847,0.457627118644068,reportable
1,confirmatory,1,cluster70,2,aac-logistic,1,balanced_accuracy,0,0,0,66,66,64,64,0.359832217590838,0.222068088161838,0.49953663003663,reportable
1,confirmatory,1,cluster70,2,aac-logistic,1,balanced_accuracy,1,1,2,64,64,63,63,0.334435392194013,0.200765878278809,0.481002514367816,reportable
1,confirmatory,1,cluster70,2,aac-logistic,1,balanced_accuracy,2,3,5,61,61,61,61,0.307214082214082,0.180239388062917,0.455063725490196,reportable
1,confirmatory,1,cluster70,2,aac-logistic,1,balanced_accuracy,3,5,7,59,59,59,59,0.303018278018278,0.166786674347158,0.447544642857143,reportable
1,confirmatory,1,cluster70,2,aac-logistic,2,macro_f1,0,0,0,66,66,64,64,0.342666214811283,0.215547803617571,0.454762103454994,reportable
1,confirmatory,1,cluster70,2,aac-logistic,2,macro_f1,1,1,2,64,64,63,63,0.318423790568859,0.198873376623377,0.433562569309922,reportable
1,confirmatory,1,cluster70,2,aac-logistic,2,macro_f1,2,3,5,61,61,61,61,0.293412452700378,0.175891857190834,0.399185365231364,reportable
1,confirmatory,1,cluster70,2,aac-logistic,2,macro_f1,3,5,7,59,59,59,59,0.289473058760984,0.16813953042674,0.398702665755297,reportable
1,confirmatory,1,cluster70,3,kmer3-logistic,0,accuracy,0,0,0,66,66,64,64,0.46969696969697,0.343283582089552,0.588235294117647,reportable
1,confirmatory,1,cluster70,3,kmer3-logistic,0,accuracy,1,1,2,64,64,63,63,0.453125,0.328125,0.578125,reportable
1,confirmatory,1,cluster70,3,kmer3-logistic,0,accuracy,2,3,5,61,61,61,61,0.426229508196721,0.311475409836066,0.541393442622949,reportable
1,confirmatory,1,cluster70,3,kmer3-logistic,0,accuracy,3,5,7,59,59,59,59,0.423728813559322,0.305084745762712,0.542372881355932,reportable
1,confirmatory,1,cluster70,3,kmer3-logistic,1,balanced_accuracy,0,0,0,66,66,64,64,0.413545745442297,0.273692082111437,0.546131297134238,reportable
1,confirmatory,1,cluster70,3,kmer3-logistic,1,balanced_accuracy,1,1,2,64,64,63,63,0.388148920045472,0.243709686147186,0.539359893026884,reportable
1,confirmatory,1,cluster70,3,kmer3-logistic,1,balanced_accuracy,2,3,5,61,61,61,61,0.363481888481889,0.221458812260536,0.516880434782609,reportable
1,confirmatory,1,cluster70,3,kmer3-logistic,1,balanced_accuracy,3,5,7,59,59,59,59,0.353691678691679,0.216172619047619,0.517020986895987,reportable
1,confirmatory,1,cluster70,3,kmer3-logistic,2,macro_f1,0,0,0,66,66,64,64,0.417608225108225,0.265876012813266,0.541259500745156,reportable
1,confirmatory,1,cluster70,3,kmer3-logistic,2,macro_f1,1,1,2,64,64,63,63,0.392958365164248,0.242270462233577,0.519474025974026,reportable
1,confirmatory,1,cluster70,3,kmer3-logistic,2,macro_f1,2,3,5,61,61,61,61,0.36987012987013,0.224024197145406,0.495458797074201,reportable
1,confirmatory,1,cluster70,3,kmer3-logistic,2,macro_f1,3,5,7,59,59,59,59,0.358979626776237,0.211502578891908,0.486416977902272,reportable
1,confirmatory,1,cluster70,4,nearest-homolog,0,accuracy,0,0,0,66,66,64,64,0.606060606060606,0.484375,0.71875,reportable
1,confirmatory,1,cluster70,4,nearest-homolog,0,accuracy,1,1,2,64,64,63,63,0.59375,0.476923076923077,0.714285714285714,reportable
1,confirmatory,1,cluster70,4,nearest-homolog,0,accuracy,2,3,5,61,61,61,61,0.573770491803279,0.442622950819672,0.704918032786885,reportable
1,confirmatory,1,cluster70,4,nearest-homolog,0,accuracy,3,5,7,59,59,59,59,0.593220338983051,0.474576271186441,0.711864406779661,reportable
1,confirmatory,1,cluster70,4,nearest-homolog,1,balanced_accuracy,0,0,0,66,66,64,64,0.436630036630037,0.323797619047619,0.545464015151515,reportable
1,confirmatory,1,cluster70,4,nearest-homolog,1,balanced_accuracy,1,1,2,64,64,63,63,0.417582417582418,0.3,0.531746031746032,reportable
