schema_version,analysis_class,dimension_order,dimension,stratum_order,stratum_id,split_order,split_name,comparison_order,method_a,method_b,metric_order,metric,point_a,point_b,difference_method_a_minus_method_b,ci_lower,ci_upper,sequence_count_display,sequence_count,component_count_display,component_count,bootstrap_seed,reporting_status
1,confirmatory,1,identity,0,identity_00_20,0,random,1,esm2-35m,kmer3-logistic,0,accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,0,identity_00_20,0,random,1,esm2-35m,kmer3-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,0,identity_00_20,0,random,1,esm2-35m,kmer3-logistic,2,macro_f1,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,1,identity_20_30,0,random,1,esm2-35m,kmer3-logistic,0,accuracy,NA,NA,NA,NA,NA,10,10,10,10,NA,insufficient_sequences
1,confirmatory,1,identity,1,identity_20_30,0,random,1,esm2-35m,kmer3-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,10,10,10,10,NA,insufficient_sequences
1,confirmatory,1,identity,1,identity_20_30,0,random,1,esm2-35m,kmer3-logistic,2,macro_f1,NA,NA,NA,NA,NA,10,10,10,10,NA,insufficient_sequences
1,confirmatory,1,identity,2,identity_30_40,0,random,1,esm2-35m,kmer3-logistic,0,accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,2,identity_30_40,0,random,1,esm2-35m,kmer3-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,2,identity_30_40,0,random,1,esm2-35m,kmer3-logistic,2,macro_f1,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,3,identity_40_50,0,random,1,esm2-35m,kmer3-logistic,0,accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,3,identity_40_50,0,random,1,esm2-35m,kmer3-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,3,identity_40_50,0,random,1,esm2-35m,kmer3-logistic,2,macro_f1,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,4,identity_50_70,0,random,1,esm2-35m,kmer3-logistic,0,accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
1,confirmatory,1,identity,4,identity_50_70,0,random,1,esm2-35m,kmer3-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,<5,NA,<3,NA,NA,privacy_suppressed
