interval_family,split,method,method_a,method_b,metric,point_estimate,lower,upper,group_count,seed,iterations,valid_iterations,confidence_level,domain,interval_method,resampling
method_comparison,random,,esm2_150m,kmer3_logistic,balanced_accuracy,0.36970653867205588,0.22558449675324682,0.52036640211640217,65,2026,2000,2000,0.94999999999999996,paired:random:balanced_accuracy:esm2_150m:kmer3_logistic,percentile,paired
method_comparison,random,,esm2_150m,esm2_35m,macro_f1,-0.01362161379110538,-0.097417632448962357,0.06713420263710794,65,2026,2000,2000,0.94999999999999996,paired:random:macro_f1:esm2_150m:esm2_35m,percentile,paired
method_comparison,random,,esm2_150m,esm2_35m,balanced_accuracy,-0.0090354090354091143,-0.0829068356374809,0.068942404817404615,65,2026,2000,2000,0.94999999999999996,paired:random:balanced_accuracy:esm2_150m:esm2_35m,percentile,paired
method_comparison,cluster70,,esm2_35m,aac_logistic,macro_f1,0.39217528777215466,0.2366642248642514,0.53512954950106639,64,2026,2000,2000,0.94999999999999996,paired:cluster70:macro_f1:esm2_35m:aac_logistic,percentile,paired
method_comparison,cluster70,,esm2_35m,aac_logistic,balanced_accuracy,0.36318997094859162,0.20110069444444445,0.51912513091746948,64,2026,2000,2000,0.94999999999999996,paired:cluster70:balanced_accuracy:esm2_35m:aac_logistic,percentile,paired
method_comparison,cluster70,,esm2_35m,kmer3_logistic,macro_f1,0.31723327747521296,0.1601159396467253,0.4843638590513864,64,2026,2000,2000,0.94999999999999996,paired:cluster70:macro_f1:esm2_35m:kmer3_logistic,percentile,paired
method_comparison,cluster70,,esm2_35m,kmer3_logistic,balanced_accuracy,0.30947644309713274,0.15939100915292792,0.46876296655930283,64,2026,2000,2000,0.94999999999999996,paired:cluster70:balanced_accuracy:esm2_35m:kmer3_logistic,percentile,paired
method_comparison,cluster70,,esm2_150m,aac_logistic,macro_f1,0.46439911454626609,0.32423829346271793,0.60585895590651384,64,2026,2000,2000,0.94999999999999996,paired:cluster70:macro_f1:esm2_150m:aac_logistic,percentile,paired
method_comparison,cluster70,,esm2_150m,aac_logistic,balanced_accuracy,0.42948612689992005,0.26997402597402587,0.58660721288515405,64,2026,2000,2000,0.94999999999999996,paired:cluster70:balanced_accuracy:esm2_150m:aac_logistic,percentile,paired
method_comparison,cluster70,,esm2_150m,kmer3_logistic,macro_f1,0.38945710424932439,0.241197217039685,0.55309170023601995,64,2026,2000,2000,0.94999999999999996,paired:cluster70:macro_f1:esm2_150m:kmer3_logistic,percentile,paired
