split,method_a,method_b,metric,point_a,point_b,absolute_metric_difference,lower,upper,resampling
cluster70,esm2_150m,aac_logistic,macro_f1,0.80706532935754949,0.3426662148112834,0.46439911454626609,0.32423829346271793,0.60585895590651384,paired
cluster70,esm2_150m,aac_logistic,balanced_accuracy,0.78931834449075833,0.35983221759083828,0.42948612689992005,0.26997402597402587,0.58660721288515405,paired
cluster70,esm2_150m,kmer3_logistic,macro_f1,0.80706532935754949,0.4176082251082251,0.38945710424932439,0.241197217039685,0.55309170023601995,paired
cluster70,esm2_150m,kmer3_logistic,balanced_accuracy,0.78931834449075833,0.41354574544229716,0.37577259904846116,0.22982152330428191,0.52477304639804634,paired
cluster70,esm2_150m,esm2_35m,macro_f1,0.80706532935754949,0.73484150258343806,0.072223826774111433,-0.0091539424589260066,0.16626360172634169,paired
cluster70,esm2_150m,esm2_35m,balanced_accuracy,0.78931834449075833,0.7230221885394299,0.066296155951328428,-0.020005275974025995,0.15586607142857117,paired
cluster50,esm2_35m,aac_logistic,macro_f1,0.85995246583481877,0.34902795160617439,0.51092451422864438,0.33040643105947332,0.66163186377882055,paired
cluster50,esm2_35m,aac_logistic,balanced_accuracy,0.84365289882531269,0.38010715338301548,0.46354574544229721,0.26426511419614868,0.61952380952380959,paired
cluster50,esm2_35m,kmer3_logistic,macro_f1,0.85995246583481877,0.389219339909877,0.47073312592494176,0.3253586706122229,0.6216159788695258,paired
cluster50,esm2_35m,kmer3_logistic,balanced_accuracy,0.84365289882531269,0.40291882447054855,0.44073407435476414,0.27972794946988488,0.58619126984127001,paired
cluster50,esm2_150m,aac_logistic,macro_f1,0.84385256619810389,0.34902795160617439,0.4948246145919295,0.33791567149720436,0.63918828704111419,paired
cluster50,esm2_150m,aac_logistic,balanced_accuracy,0.84252557787040538,0.38010715338301548,0.4624184244873899,0.27715963203463218,0.6371527883880822,paired
cluster50,esm2_150m,kmer3_logistic,macro_f1,0.84385256619810389,0.389219339909877,0.45463322628822689,0.30539974143700849,0.61025888975554732,paired
cluster50,esm2_150m,kmer3_logistic,balanced_accuracy,0.84252557787040538,0.40291882447054855,0.43960675339985683,0.27584704184704173,0.60178558696205742,paired
cluster50,esm2_150m,esm2_35m,macro_f1,0.84385256619810389,0.85995246583481877,-0.016099899636714876,-0.12413920150336746,0.12737531353922346,paired
cluster50,esm2_150m,esm2_35m,balanced_accuracy,0.84252557787040538,0.84365289882531269,-0.0011273209549073071,-0.11001190476190485,0.13333333333333319,paired
cluster30,esm2_35m,aac_logistic,macro_f1,0.71312352215773456,0.24571428571428572,0.46740923644344884,0.28668580157796286,0.62287108660173673,paired
cluster30,esm2_35m,aac_logistic,balanced_accuracy,0.7095627552524103,0.24398762157382844,0.46557513367858183,0.27116822854237033,0.6356290726817041,paired
cluster30,esm2_35m,kmer3_logistic,macro_f1,0.71312352215773456,0.38857500226592956,0.324548519891805,0.15168066204528366,0.48518168277118839,paired
cluster30,esm2_35m,kmer3_logistic,balanced_accuracy,0.7095627552524103,0.41939813060502712,0.29016462464738318,0.13042877252252252,0.45009169996669995,paired
cluster30,esm2_150m,aac_logistic,macro_f1,0.7800191655609614,0.24571428571428572,0.53430487984667563,0.3330114973021206,0.68724395222633528,paired
cluster30,esm2_150m,aac_logistic,balanced_accuracy,0.79118458170182315,0.24398762157382844,0.54719696012799468,0.33852904040404047,0.70868054177574302,paired
cluster30,esm2_150m,kmer3_logistic,macro_f1,0.7800191655609614,0.38857500226592956,0.39144416329503184,0.22056225297101664,0.54241914161772842,paired
cluster30,esm2_150m,kmer3_logistic,balanced_accuracy,0.79118458170182315,0.41939813060502712,0.37178645109679603,0.20138631753641906,0.52246874999999982,paired
cluster30,esm2_150m,esm2_35m,macro_f1,0.7800191655609614,0.71312352215773456,0.066895643403226845,-0.041770219466336557,0.1662482863696729,paired
cluster30,esm2_150m,esm2_35m,balanced_accuracy,0.79118458170182315,0.7095627552524103,0.081621826449412849,-0.0039660753190165236,0.17185669262143122,paired
